score,go-algorand struct,go-stateproof-verification struct,go-algorand location,go-stateproof-verification location
1.00,CommittablePublicKey,CommittablePublicKey,go-algorand/crypto/merklesignature/committablePublicKeys.go,go-stateproof-verification/merklesignature/committablePublicKeys.go
1.00,FalconVerifier,FalconVerifier,go-algorand/crypto/falconWrapper.go,go-stateproof-verification/stateproofcrypto/falconWrapper.go
1.00,HashFactory,HashFactory,go-algorand/crypto/hashes.go,go-stateproof-verification/stateproofcrypto/hashes.go
1.00,Participant,Participant,go-algorand/data/basics/stateProofParticipant.go,go-stateproof-verification/stateproof/participant.go
1.00,Proof,Proof,go-algorand/crypto/merklearray/proof.go,go-stateproof-verification/merklearray/proof.go
1.00,Reveal,Reveal,go-algorand/crypto/stateproof/structs.go,go-stateproof-verification/stateproof/structs.go
1.00,Signature,Signature,go-algorand/crypto/merklesignature/merkleSignatureScheme.go,go-stateproof-verification/merklesignature/merkleSignatureScheme.go
1.00,SingleLeafProof,SingleLeafProof,go-algorand/crypto/merklearray/proof.go,go-stateproof-verification/merklearray/proof.go
1.00,StateProof,StateProof,go-algorand/daemon/algod/api/server/v2/generated/private/types.go,go-stateproof-verification/stateproof/structs.go
1.00,StateProof,StateProof,go-algorand/daemon/algod/api/server/v2/generated/types.go,go-stateproof-verification/stateproof/structs.go
1.00,StateProof,StateProof,go-algorand/crypto/stateproof/structs.go,go-stateproof-verification/stateproof/structs.go
1.00,Tree,Tree,go-algorand/crypto/merklearray/merkle.go,go-stateproof-verification/merklearray/merkle.go
1.00,Verifier,Verifier,go-algorand/crypto/stateproof/verifier.go,go-stateproof-verification/merklesignature/merkleSignatureScheme.go
1.00,Verifier,Verifier,go-algorand/crypto/merklesignature/merkleSignatureScheme.go,go-stateproof-verification/stateproof/verifier.go
1.00,Verifier,Verifier,go-algorand/crypto/merklesignature/merkleSignatureScheme.go,go-stateproof-verification/merklesignature/merkleSignatureScheme.go
1.00,Verifier,Verifier,go-algorand/crypto/stateproof/verifier.go,go-stateproof-verification/stateproof/verifier.go
1.00,coinChoiceSeed,coinChoiceSeed,go-algorand/crypto/stateproof/coinGenerator.go,go-stateproof-verification/stateproof/coinGenerator.go
1.00,coinGenerator,coinGenerator,go-algorand/crypto/stateproof/coinGenerator.go,go-stateproof-verification/stateproof/coinGenerator.go
1.00,committableSignatureSlot,committableSignatureSlot,go-algorand/crypto/stateproof/committableSignatureSlot.go,go-stateproof-verification/stateproof/committableSignatureSlot.go
1.00,invalidHash,invalidHash,go-algorand/crypto/hashes.go,go-stateproof-verification/stateproofcrypto/hashes.go
1.00,layerItem,layerItem,go-algorand/crypto/merklearray/partial.go,go-stateproof-verification/merklearray/partial.go
1.00,pair,pair,go-algorand/crypto/merklearray/layer.go,go-stateproof-verification/merklearray/layer.go
1.00,siblings,siblings,go-algorand/crypto/merklearray/partial.go,go-stateproof-verification/merklearray/partial.go
1.00,sigslotCommit,sigslotCommit,go-algorand/crypto/stateproof/structs.go,go-stateproof-verification/stateproof/structs.go
0.00,APIV1DELETEKeyRequest,Verifier,go-algorand/daemon/kmd/lib/kmdapi/requests.go,go-stateproof-verification/merklesignature/merkleSignatureScheme.go
